Project_Description,Budget,Website,GitHub Url,Twitter Url
Free software web platform development cooperative,"$1,314",https://novawebdevelopment.org/,,
"The recommended CDN for Bootstrap, Font Awesome and Bootswatch.","$1,313",https://www.bootstrapcdn.com/,,https://twitter.com/getbootstrapcdn
"Be the media, know the media, change the media","£1,727",https://bettermedia.uk/,,https://twitter.com/bettermediauk
The Open Chemistry organization is an umbrella of multiple open source chemistry projects participating in Google Summer of Code,"$1,306",http://openchemistry.org/,,https://twitter.com/openchem
,"$1,367",https://github.com/VulcanJS/Vulcan,,
The super welcoming community of developers in Charlotte,"$1,633",https://www.meetup.com/charlottedevs/,,https://twitter.com/charlottedevs
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"€1,051",https://twitter.com/wwcodedublin,,https://twitter.com/wwcodedublin
GoSublime is a collection of Sublime Text plugins for Go development.,"$1,414",https://github.com/DisposaBoy/GoSublime,,
,$432,https://github.com/react-toolbox/react-toolbox,,
,$595,http://verdigrismusic.org/,,https://twitter.com/verdigrisensemb
Empowering community cooperation for a fair and sustainable future in Western North Carolina.,"$1,128",http://www.meetup.com/AVL-Futures/,,
"The Drupal community in, and around, Utah.","$1,561",http://drupalutah.org/,,https://twitter.com/drupalutah
"Concise, consistent, and legible badges… in a readme near you.","$1,557",https://github.com/badges/shields,,https://twitter.com/Shields_io
,$0,http://foodforthoughtargentina.org/,,https://twitter.com/_F_4_T_
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,193",https://twitter.com/wwcodeaccra,,https://twitter.com/wwcodeaccra
Fact-checking collaboratif en temps réel,"€2,475",https://captainfact.io/,https://github.com/CaptainFact,https://twitter.com/CaptainFact_io
,"$2,641",https://github.com/nim-lang/Nim,,
100% community-built,"$1,066",https://github.com/codebuddies/codebuddies,,https://twitter.com/codebuddiesmeet
La Primaire Ouverte pour les élections Présidentielles de 2017,€135,http://laprimaire.org/,,https://twitter.com/democratech
Module for Node.js applications to allow easy as cake email sending,"$1,355",https://nodemailer.com/about/,,https://twitter.com/NodemailerJS
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,118",https://twitter.com/WWCodeVinnytsia,,https://twitter.com/WWCodeVinnytsia
"GENIE is a community funded organization that exists to help Columbia River Gorge communities navigate change, together. We design a public network map and collaborative events to make key information more readily available to those who need it.",$396,https://www.gorge-genie.org/,,
We meet regularly in San Francisco and sometimes beyond to discuss how tech is used for social change,"$1,086",http://www.sftech4good.org/,,https://twitter.com/sftech4good
,€0,,,
,"$1,058",https://github.com/WebReflection/document-register-element,,
A powerful library for creating user interfaces by writing reactive HTML templates.,$170,http://blazejs.org/,,
MahApps.Metro is a framework that allows developers to cobble together a Metro or Modern UI for their own WPF applications with minimal effort.,"$1,597",https://mahapps.com/,https://github.com/MahApps/MahApps.Metro,https://twitter.com/punker76
WWCode is a global non-profit organization that inspires women to excel in technology careers.,A$560,https://twitter.com/wwcsyd,,https://twitter.com/wwcsyd
Allure Framework is a flexible lightweight multi-language test report tool,$948,http://allure.qatools.ru/,,https://twitter.com/QametaSoftware
Next generation web framework for node.js,$450,http://koajs.com/,,
"Tech4Good SWFL brings together nonprofits and activists, tech leaders and funders, and everyone who's interested in using technology for social change.","$1,224",http://tech4goodswfl.org/,,https://twitter.com/t4swfl
"Whether you're an experienced Drupalist, or you've just heard about Drupal from a friend, the STLDUG's monthly meetups aim to be a place where people from all backgrounds can come and learn more about various topics related to Drupal.","$1,026",https://www.meetup.com/drupalstl/,,https://twitter.com/drupalstl
WWCode is a global non-profit organization that inspires women to excel in technology careers.,A$540,https://twitter.com/wwcodebrisbane,,https://twitter.com/wwcodebrisbane
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,000",,,
"OpenMined is an open-source community focused on researching, developing, and promoting tools for secure, privacy-preserving, value-aligned artificial intelligence.","$1,143",https://www.openmined.org/,,https://twitter.com/openminedorg
A lightweight library for converting complex objects to and from simple Python datatypes.,"$1,299",,https://github.com/marshmallow-code,
,$990,https://gitlab.com/scion-scxml,,
Creating worldwide visibility for social businesses through film production and story telling.,"€1,414",https://instagram.com/azsocialbusiness,,
Phenomic is a modern & modular website compiler,$155,https://phenomic.io/,,https://twitter.com/Phenomic_app
Spread ideas unTeal the world changes !,"€1,119",http://reinventingorganizationswiki.com/,,
Modal editing for the future,"$1,051",http://onivim.io/,,https://twitter.com/oni_vim
,"€1,034",http://www.burgerlijst.be/,,https://twitter.com/burgerlijst
,$943,,,
"Next generation markdown editor, running on platforms of MacOS Windows and Linux.","$2,158",https://github.com/marktext/marktext,,https://twitter.com/marktext_
"An open source, modern and powerful wiki application built on Node.js, Git and Markdown.","$1,645",http://www.requarks.io/,,https://twitter.com/requarks
A free gathering for developers to share their knowledge on all technology topics.,$921,http://www.bostoncodecamp.com/,,https://twitter.com/BostonCodeCamp
"We're mostly a meet up, sometimes a hack day, sometimes a party with the python and ruby people.",£942,http://jsoxford.com/,,https://twitter.com/JSOxford
A revolutionary and 100% standard way to define reactive DOM content.,"$1,092",https://viperhtml.js.org/,,https://twitter.com/WebReflection
,$758,https://github.com/Marak/faker.js,,
Women supporting women,€886,http://www.gentlewomensclub.eu/,,https://twitter.com/GWCBxl
Inspiring the Next Generation of Social Entrepreneurs!,$879,http://www.theimpactfellowship.com/,,
Open Source Mobile Communications,"€4,304",https://osmocom.org/,,
La page de nos activités et nos dépenses,€916,https://twitter.com/Open_coParis,,https://twitter.com/Open_coParis
The most popular open source electronic health records and medical practice management solution.,$807,http://open-emr.org/,,https://twitter.com/openemr
,£457,,,
,"$1,063",https://github.com/poooi/poi,,
Por que la realidad también es hackeable,"MX$2,002",http://makersgdl.com/,,https://twitter.com/Makers_GDL
JSS is an authoring tool for CSS which uses JavaScript as a host language.,"$1,026",https://github.com/cssinjs/jss,,https://twitter.com/oleg008
Chai is a BDD / TDD assertion library for node and the browser that can be delightfully paired with any javascript testing framework.,"$1,033",http://chaijs.com/,,
,"$1,529",https://github.com/AvaloniaUI/Avalonia,,
"Simply Secure supports practitioners in putting people at the center of trustworthy technology. We provide professional education for user experience designers, researchers, and developers working on privacy, security, transparency, and ethics.",$892,https://simplysecure.org/underexposed/,https://github.com/simplysecure,https://twitter.com/simplysecureorg
Simplifies creation of HTML files with Webpack,"$1,058",https://github.com/jantimon/html-webpack-plugin,,
"ORY is a software company building specialised, developer-friendly, security-focused open source software.","$1,054",https://www.ory.sh/,,
,$827,,,
Readline is a pure go(golang) implementation for GNU-Readline kind library,$8,https://github.com/chzyer/readline,,
,$621,https://github.com/mrbigmouth/acgn-stock,,
GraphQL server permissions as another abstraction layer of logic.,"$1,182",https://github.com/maticzav/graphql-shield,,
Thessaloniki Java Meetup,€792,https://www.meetup.com/Thessaloniki-Java-Meetup-Group,,https://twitter.com/skg_jug
Build your idea faster.,$773,https://tessel.io/,,https://twitter.com/tesselproject
UK host for Open Collectives,£750,https://opencollective.com/uk,,https://twitter.com/OpenCollect_UK
,$24,https://github.com/ax5ui/ax5ui-kernel,,
We're an independent alumni network for the Fisk-Vanderbilt Master's-to-PhD Bridge Program,$924,http://fvbran.org/,,https://twitter.com/fvbran
,"$3,226",https://github.com/davidkpiano/xstate,https://github.com/davidkpiano/xstate,
"Pony is an object-oriented, actor-model, capabilities-secure, high performance programming language.","$3,757",https://github.com/ponylang/ponyc,,https://twitter.com/ponylang
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$695,,,
"Open-Source Static Site CMS available for Windows, MacOs and Linux","$1,689",https://github.com/GetPublii/Publii,,https://twitter.com/GetPublii
Transform SVGs into React components 🦁,"$2,063",https://github.com/smooth-code/svgr,,
A Java library that enables cross-platform access to popular native libraries.,"$1,015",https://www.lwjgl.org/,,https://twitter.com/LWJGL
,$676,https://github.com/OJ/gobuster,,
,$341,https://github.com/fuse-box/fuse-box,,
,$67,https://github.com/react-native-community/react-native-camera,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$637,,,
,$652,https://github.com/lynndylanhurley/devise_token_auth,,
A social network off the grid,"€2,469",https://manyver.se/,,https://twitter.com/manyver_se
,$656,https://github.com/AudioKit/AudioKit,,
"An open, extensible, molecular visualization and building tool",$619,http://avogadro.cc/,,https://twitter.com/AvogadroChem
Behaviour Driven Development tool,$443,https://github.com/cucumber/cucumber,,https://twitter.com/cucumberbdd
,$715,https://github.com/streamlink/streamlink,https://github.com/streamlink/streamlink,
,$619,https://github.com/jsbin/jsbin,,
"An open-source Python developer group based out of Ann Arbor, Michigan",$750,http://bit.ly/join-mipy,,https://twitter.com/MichiganPython
,$519,https://github.com/bootstrap-vue/bootstrap-vue,,https://twitter.com/bootstrapvue
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$524,https://twitter.com/wwcode_eastbay,,https://twitter.com/wwcode_eastbay
Openwhyd - The community of music lovers,$361,https://github.com/openwhyd/openwhyd,,https://twitter.com/open_whyd
"OSCurrency (short for “open source currency”) is a user-driven, open source platform to help communities build their own customizable economic networks using mutual credit cooperative transactions.",$601,http://oscurrency.org/,,https://twitter.com/oscurrency
Sharing holistic approaches to living in balance,$117,http://cultureseed.org/,,
We are on a mission to create a new generation of association transparent by design,$212,https://opencollective.com/,,https://twitter.com/opencollect
REconomy practitioners: supporting regenerative entrepreneurs and community organisers worldwide to spread ideas that work.,"€1,041",http://www.artoftransition.org/en/activities/reconomy,,
"La prima campagna, trasparente e dal basso, nata per dare una risposta concreta alle criticità ambientali lucane.",€209,http://analizebasilicata.altervista.org/,,https://twitter.com/PuntoebastaBas
The professional publishing platform,$418,https://github.com/TryGhost/Ghost,,https://twitter.com/TryGhost
Co-Labs is a non profit association who is working on citizens and Open-Source projects.,€479,http://www.co-labs.be/,,
"A local group of DiEM25 volunteers, doing their part for democratising Europe!",€560,http://diem25.be/home/,,https://twitter.com/https://twitter.com/Diem25Belgium
"We are a new and unique global network of weather presenters, and we don't want anyone to die because of the changing weather.",€570,http://climatewithoutborders.org/,,https://twitter.com/CLIMATEwBORDERS
AAC communication board with text-to-speech for the browser in 33 languages,$526,http://www.cboard.io/,,https://twitter.com/cboard_io
We’re a team of volunteers hosting free #Tech4Good workshops for nonprofits.,CA$526,http://www.meetup.com/net2van,,https://twitter.com/net2van
Civic Innovation Network,€20,https://civicinnovation.network/,,https://twitter.com/civic_net
"Crispy, file-specific vector icons for improved visual grepping.","$1,042",https://github.com/file-icons/atom,,
"Data Pioneers is a glob al forum for data leaders to meet, learn and network.",€533,https://twitter.com/DataTechTalk,,https://twitter.com/DataTechTalk
Inferno is a high-performance javascript library for building user interfaces.,$645,https://github.com/infernojs/inferno,,
,$550,,,
"Since 1981 our work has been vital to the infrastructure of our modern world. Network Time Foundation, a 501(c)(3) public benefit organization, develops, produces and maintains the most widely-used open-source precision time software.",$508,http://www.nwtime.org/,,https://twitter.com/NetworkTimeFnd
Persistence and mapping toolkit for Ruby,$529,https://github.com/rom-rb/rom,,https://twitter.com/rom_rb
.NET Game Server Plugin Framework,$507,https://rocketmod.net/,,https://twitter.com/RocketMod
"We reward people for not texting while driving, gamifying road safety.",$338,http://www.foynt.com/,,https://twitter.com/foynt
,$0,,,
,€482,https://www.facebook.com/GlobalChallengesCollaboration,,
,$28,https://github.com/CommonGarden/Grow-IoT,,
"SVG animation tool for Android, iOS, & the web.",$550,http://github.com/alexjlockwood/ShapeShifter,,
,€519,http://www.openrecognition.org/,,https://twitter.com/openrecognition
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$492,,,
A lightweight private npm proxy registry,$543,https://verdaccio.org/,https://github.com/verdaccio,https://twitter.com/verdaccio_npm
,$53,https://github.com/aksonov/react-native-router-flux,,
,$219,,,
La technologie au service de l'impact social,€840,http://www.dataforgood.fr/,,https://twitter.com/DataForGood_FR
"A free, open-source game engine written in Rust with an ECS architecture at its heart.","$5,414",https://github.com/amethyst/amethyst,https://github.com/amethyst,
Collectif de Femmes pour réfléchir et avancer ensemble sur sa Transition,€467,,,
Permettre aux enfants précarisés et en majorité d’origine immigrée de s’ouvrir à d’autres horizons en les décloisonnant de leur quartier pour leur proposer des activités culturelles et de stimulation.,€434,,,
Google's Material Design Principles Wrapped in Bootstrap,"$1,055",https://github.com/Daemonite/material,,https://twitter.com/daemonite
"We love Facebook's ReactJS, open-source projects, and developing apps for the web.",$633,https://www.meetup.com/ReactJSDallas/,https://github.com/reactjs-dallas,https://twitter.com/ReactJSDallas
Open source libraries for modern server software.,$68,http://zewo.io/,,https://twitter.com/zewo_io
,$446,https://github.com/jamesmfriedman/rmwc,,
,$435,https://github.com/openbabel/openbabel,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$435,https://twitter.com/wwcodewichita,,https://twitter.com/wwcodewichita
,$435,,,
,$435,,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$435,,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$435,https://twitter.com/wwcodephoenix,,https://twitter.com/wwcodephoenix
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$435,https://twitter.com/wwcodetampa,,https://twitter.com/wwcodetampa
,€0,,,
,€298,https://www.meetup.com/Thessaloniki-NET-Meetup,,https://twitter.com/thessnetmeetup
Discuss with a mentor and accelerate your learning experience,€15,http://huuman.co/,,https://twitter.com/vloupe_
Womer is a word-of-mouth booster for responsible local shops.,€0,http://www.womer.be/,,
,$420,,,
"Sustainable Brussels is your guide to the green face of Brussels. We connect locals, expats and travellers with the heroes of the urban sustainability scene through our map and guided tours.",€415,https://www.facebook.com/SustainableBrussels/,,
UpstatePHP is a community of individuals with a passion for all things web.,$147,http://upstatephp.com/,,
👨‍💻 Material Theme for Jetbrains IDEs,$463,http://www.material-theme.com/,,https://twitter.com/Mallowigi
We are going to rescue your shit,$419,http://archiveteam.org/,https://github.com/ArchiveTeam,https://twitter.com/ArchiveBot
🏁 Final Form is a framework-agnostic form state management library for javascript.,$494,https://github.com/final-form,,https://twitter.com/erikras
Modern PHP user login and management framework++.,$446,http://www.userfrosting.com/,,https://twitter.com/userfrosting
Open Source Training Provider - Powered by ELMS:LN,$242,http://openulmus.org/,,https://twitter.com/OpenUlmus
,,,,
,$145,https://github.com/ivpusic/react-native-image-crop-picker,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$375,https://twitter.com/WWCodeRenoTahoe,,https://twitter.com/WWCodeRenoTahoe
Nous organisons les voyages du Master Affaires Européennes de Sciences Po,€374,,,
Cross-platform mobile and web starter kit for GraphQL applications in JavaScript,$285,http://github.com/sysgears/apollo-universal-starter-kit,,https://twitter.com/sysgears
"A Job board by Developers, for Developers.",$372,https://emplea.do/,,https://twitter.com/emplea_do
A solid start for any Laravel Vue Spa project,"$1,090",https://github.com/laravel-enso/Enso,,
Isolated React component development environment with a living style guide,$405,https://react-styleguidist.js.org/,,https://twitter.com/styleguidist
The Lounge is a modern web IRC client designed to be self-hosted.,$475,https://thelounge.chat/,,
An enterprise-class UI components based on Ant Design and Vue.,"$1,033",https://github.com/vueComponent/ant-design-vue,,
,$344,https://github.com/airyland/vux,,
Free and Open Source Javascript Password Vault,$288,https://github.com/buttercup,,https://twitter.com/buttercup_pw
,$383,https://github.com/visionmedia/debug,,
"Living a Peaceful, Healthy, Free and Superabundant Future... One Holon at a Time...",$12,http://noomap.info/,,https://twitter.com/Noomap
Tweak React components in real time!,$455,http://github.com/gaearon/react-hot-loader,,
Accelerating AI for Social Impact,$392,http://www.accel.ai/,https://github.com/AccelAI,https://twitter.com/AccelerateAI
🍰 使用 RSS 连接全世界,$362,https://github.com/DIYgod/RSSHub,,https://twitter.com/DIYgod
brain.js is a library of Neural Networks written in JavaScript.,"$1,034",https://github.com/BrainJS/brain.js,https://github.com/BrainJS,https://twitter.com/BrainJsFnd
A TypeScript to WebAssembly compiler 🚀,"$2,471",https://assemblyscript.org/,,
Run your tests using Jest & Puppeteer 🎪✨,"$1,030",https://github.com/smooth-code/jest-puppeteer,,
Code tree for GitHub,$107,https://github.com/ovity/octotree,,
"Kea makes state management in React simple, functional and amazing!",$211,https://kea.js.org/,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$335,https://twitter.com/wwcodekingston,,https://twitter.com/wwcodekingston
WWCode is a global non-profit organization that inspires women to excel in technology careers.,$335,,,
An online cooperative that aims to promote and act on solarpunk values.,€615,https://sunbeam.city/,,
,$452,https://github.com/localstack/localstack,,
Premium and Open Source dashboard template with responsive and high quality UI.,$360,https://github.com/tabler/tabler,https://github.com/tabler,https://twitter.com/codecalm
“✔ I have read and agree to the Terms” is the biggest lie on the web. We aim to fix that. 🚥,$570,https://tosdr.org/,https://github.com/tosdr,https://twitter.com/ToSDR
Visual Studio Code Environment Synchronization Solution,$336,https://github.com/shanalikhan/code-settings-sync,https://github.com/shanalikhan/code-settings-sync,https://twitter.com/itsShanKhan
,$330,https://github.com/compodoc/compodoc,,
State Management for Angular,"$1,243",https://github.com/ngxs/store,,
,$308,https://github.com/navit-gps/navit,,
Complex web apps made easy.,$4,http://www.reactstarter.com/,,https://twitter.com/ReactStarter
Chemung County Parent Support Group,$300,,,
Music Organizer,$347,http://lidarr.audio/,,
,$190,https://github.com/simonmichael/hledger,,
,$302,https://github.com/goby-lang/goby,,
"The Elm Live Editor - share, collaborate and teach Elm online",$264,http://ellie-app.com/,,
"Start Up Yoga is a pop-up yoga experience, providing mobile yoga sessions throughout New York City. We invite you to breathe, meditate and flow with us.",$0,http://startupyoganyc.com/,,https://twitter.com/startupyoganyc
"This is a group for anyone interested in ReactJS, React Native, Redux and all the related technologies.",€702,https://www.meetup.com/Thessaloniki-ReactJS-Meetup/,,https://twitter.com/skgreactjs
,$0,http://pumpkindb.org/,,
An exciting game of programming and Artificial Intelligence,$314,https://warriorjs.com/,https://github.com/olistic/warriorjs,https://twitter.com/warrior_js
Fast & simple storage - a Node.js-style LevelDB wrapper,$306,http://leveldb.org/,,https://twitter.com/leveldb
"Educate, empower and affect lives through music, the arts, and emerging digital technologies.",$0,http://www.allmusictelevision.net/,,https://twitter.com/All_Music_TV
"New generation CMS on top of React, Redux and GraphQL",,https://github.com/relax/relax,,https://twitter.com/RelaxJS
A framework for building API-Centric Apps with PHP,$260,https://github.com/apiato/apiato,,https://twitter.com/Mahmoud_Zalt
,$338,https://gitextensions.github.io/,https://github.com/gitextensions/gitextensions,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,CA$176,https://twitter.com/womenwhocodekw,,https://twitter.com/womenwhocodekw
"A free, federated and social music server",€888,https://funkwhale.audio/,,
"We help military, veterans, and military spouses in the DC area learn to code, break into tech, and continue their service through open-source contributions to nonprofits and government digital services.",$255,https://operationcode.org/,,https://twitter.com/opcode_dc
"A weekly work jam for hackers, makers, and friends.",$982,http://hackportland.com/,,https://twitter.com/hackportland
,$205,https://github.com/Atyantik/react-pwa,,
"A mighty, modern CSS linter",$307,https://github.com/stylelint/stylelint,,https://twitter.com/stylelint
Modern JavaScript date utility library,$513,https://date-fns.org/,,https://twitter.com/date_fns
"WordPress boilerplate with modern development tools, easier configuration, and an improved folder structure",$225,https://roots.io/,,https://twitter.com/rootswp
The way for NUS students to plan their school timetables,$293,https://github.com/nusmodifications/nusmods,,https://twitter.com/nusmods
Polar is a personal knowledge repository for PDF and web content supporting incremental reading and document annotation.,$590,https://getpolarized.io/,https://github.com/burtonator/polar-bookshelf,https://twitter.com/socializ3r
OPEN VALUE NETWORK,$181,http://socialmarket.com/,,https://twitter.com/opencooperative
Ruby in the browser,$315,https://opalrb.com/,https://github.com/opal/opal,https://twitter.com/opalrb
JavaScript obfuscator is a powerful free obfuscator for JavaScript and Node.js,$217,https://github.com/javascript-obfuscator/javascript-obfuscator,,
A complete set of Yeoman generators to start all your frontend projects.,$17,http://fountainjs.io/,,https://twitter.com/YeomanFountain
WWCode is a global non-profit organization that inspires women to excel in technology careers.,A$151,https://twitter.com/WWCodeMelbourne,,https://twitter.com/WWCodeMelbourne
An open source python chat-ops bot framework for creating your own chatbots.,$252,https://opsdroid.github.io/,,https://twitter.com/opsdroid
We’re a collective of citizens and local organisations campaigning for Norwich to be recognised as the UK’s leading sharing city.,£226,http://norwichsharing.city/,,https://twitter.com/SharingCityUK
"The collaborative trademark for holistic, regenerative agriculture.",€0,http://www.transformevia.com/origin-club,,
,$87,https://github.com/tellform/tellform,,
,$49,https://github.com/LolaShare/LolaShare,,
React Denver is a meetup focused on ReactJS and the technologies and practices surrounding it.,$224,https://www.meetup.com/ReactDenver/,https://github.com/React%20Denver,https://twitter.com/ReactDenver
,$125,https://github.com/Clipy/Clipy,,
".ignore plugin that handles .gitignore (and many other dot-ignore like files) in JetBrains IDEs (IntelliJ, PhpStorm, Android Studio, ...).",$206,https://github.com/hsz/idea-gitignore,,https://twitter.com/hszanowski
,$41,https://github.com/cult-of-coders/redis-oplog,,
,$0,,,
Get started with React Native in minutes. Zero build configuration.,$225,https://github.com/expo/expo-cli,,https://twitter.com/expo
,$215,https://github.com/steelbrain/linter,,
"Transparent, open source, cooperatively owned and governed social news",$610,https://www.weco.io/b/root,,
,$255,https://github.com/XOOPS/XoopsCore,,
,$109,https://github.com/OpenKitten/MongoKitten,,
,$212,http://wpgwinnett.com/,,https://twitter.com/wpgwinnett
"A set of simple, spring-physics based primitives (as in building blocks) that should cover most of your animation needs",$353,https://github.com/drcmda/react-spring,,https://twitter.com/0xca0a
"Grupo de usuarios de JavaScript en Lima, Perú.",$275,https://limajs.org/,,https://twitter.com/LimaJSorg
"An open source tool and service that helps people new to Drupal learn how to use it, test patches, and more.",$381,https://simplytest.me/,,https://twitter.com/simplytestme
La Monnaie Libre est à la monnaie ce que les Logiciels Libres sont aux logiciels!,€433,https://www.monnaie-libre.fr/,,https://twitter.com/zicmama
Emotion is a css-in-js library focused on performance and developer experience.,$253,https://github.com/emotion-js/emotion,,
,$78,,,
"Building decentralized communities for gamers, programmers & designers.",$96,https://cheeselab.industries/,https://github.com/Cheeselab,https://twitter.com/Cheeselab
Python UI framework for making outstanding desktop and mobile applications,"$1,129",https://kivy.org/,https://github.com/kivy,https://twitter.com/kivyframework
,$314,https://github.com/agentejo/cockpit,,https://twitter.com/getcockpit
,$222,https://pnpm.js.org/,,https://twitter.com/pnpmjs
A Foundation for Scalable Cross-Platform Desktop Apps,$373,https://electron-react-boilerplate.js.org/,https://github.com/electron-react-boilerplate,https://twitter.com/EBoilerplate
,$129,https://mastodon.me.uk/,,
,$127,https://github.com/jscad/OpenJSCAD.org,,
"Towards a Transitioning, Commons & Network-based Economy, Sociocracy, effective Collective Intelligence, Zero Waste, Permaculture & a vegan-friendly city",€177,http://electricsheep.fm/,,https://twitter.com/ckemmler
Tech meetup group in Western Maryland,$185,http://queencityhacks.herokuapp.com./,,https://twitter.com/queencityhacks
